Дата,Открытие,Закрытие,Макс,Мин
9/4/2018,106550,106600,106550,106600
9/4/2018,106550,106550,106550,106550
9/4/2018,106630,106630,106630,106630
9/4/2018,106650,106650,106650,106650
9/4/2018,106640,106640,106640,106640
9/4/2018,106640,106640,106640,106640
9/4/2018,106660,106670,106660,106670
9/4/2018,106700,106760,106700,106760
9/4/2018,106680,106680,106680,106680
10/4/2018,117890,117890,117140,117230
10/4/2018,117230,117240,116860,116880
10/4/2018,116880,117100,116830,117010
10/4/2018,117010,117140,116910,117090
10/4/2018,117080,117160,117030,117080
10/4/2018,117060,117150,117030,117110
10/4/2018,117110,117140,117040,117040
10/4/2018,117040,117120,117000,117090
10/4/2018,117110,117150,117020,117070
10/4/2018,117060,117140,117020,117130
10/4/2018,117120,117170,117060,117170
10/4/2018,117180,117260,117120,117170
10/4/2018,117180,117330,117180,117310
10/4/2018,117300,117320,117220,117280
10/4/2018,117280,117300,117200,117300
10/4/2018,117300,117320,117220,117280
10/4/2018,117260,117300,117210,117300
10/4/2018,117300,117320,117250,117250
10/4/2018,117250,117290,117190,117210
10/4/2018,117230,117310,117200,117300
10/4/2018,117300,117310,117240,117310
10/4/2018,117310,117440,117300,117350
10/4/2018,117370,117600,117370,117510
10/4/2018,117500,117600,117500,117550
10/4/2018,117550,117680,117540,117580
10/4/2018,117580,117590,117470,117500
10/4/2018,117480,117540,117460,117460
10/4/2018,117480,117480,117350,117420
10/4/2018,117410,117490,117380,117430
10/4/2018,117420,117450,117320,117380
10/4/2018,117400,117400,117270,117310
10/4/2018,117300,117310,117170,117270
10/4/2018,117270,117360,117240,117310
10/4/2018,117300,117360,117290,117330
10/4/2018,117310,117400,117310,117360
10/4/2018,117350,117430,117350,117380
10/4/2018,117390,117420,117350,117400
10/4/2018,117400,117580,117400,117530
10/4/2018,117520,117570,117470,117560
10/4/2018,117550,117590,117500,117590
10/4/2018,117590,117590,117450,117500
10/4/2018,117510,117670,117490,117600
10/4/2018,117590,117610,117550,117600
10/4/2018,117600,117790,117590,117790
10/4/2018,117790,117960,117780,117870
10/4/2018,117880,117930,117800,117810
10/4/2018,117800,117870,117780,117870
10/4/2018,117880,117970,117870,117900
10/4/2018,117900,117950,117850,117850
10/4/2018,117860,117950,117850,117900
10/4/2018,117900,117910,117810,117880
10/4/2018,117880,117910,117830,117870
10/4/2018,117870,117890,117730,117760
10/4/2018,117740,117810,117680,117730
10/4/2018,117730,117790,117720,117740
10/4/2018,117740,117790,117720,117780
10/4/2018,117770,117780,117730,117740
10/4/2018,117740,117800,117740,117800
10/4/2018,117790,117800,117630,117720
10/4/2018,117730,117780,117640,117660
10/4/2018,117660,117680,117580,117620
10/4/2018,117620,117730,117610,117680
10/4/2018,117690,117710,117650,117670
10/4/2018,117650,117660,117570,117570
10/4/2018,117580,117640,117560,117570
10/4/2018,117570,117590,117400,117430
10/4/2018,117420,117480,117310,117360
10/4/2018,117360,117370,117220,117220
10/4/2018,117230,117310,117210,117280
10/4/2018,117280,117330,117270,117330
10/4/2018,117320,117320,117150,117150
10/4/2018,117150,117150,117060,117100
10/4/2018,117100,117160,117070,117140
10/4/2018,117140,117140,117070,117080
10/4/2018,117090,117110,117030,117090
10/4/2018,117090,117130,117050,117100
